Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Listeners_LastFM_x,Playcount_LastFM_x,Artistas_Similares,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Jamie Lidell,funk (Origen: funk),Canción,It’s A Kiss,2010,1Q3wgWWlCgfyjlgXdq6UR5,49p6AaBQ6wLniPn8e9y4MK,"Jamie Lidell (born September 18, 1973, Huntingdon, England) is a musician and soul singer, signed to Warp.

Famed for his largely improvised shows, that see Jamie constructing his tracks live, voicing and layering right in front of your eyes, effortlessly whipping them out of the air and forging them into clanking electro riffs and deathprod funk grooves.

Likened to Sly Stone, Prince and Little Richard, he is Britain's voice of soul for the new era.",508440,7955435,"Mayer Hawthorne, Alice Russell, Jamie Woon, Son Little, Curtis Harding",,,
Eddie Bo,funk (Origen: funk),Canción,Dinky Doo,2010,2EfSEZ6arhGCL3ZLnzVtkU,3ajZCsPQc48KL5ik17x7QC,"Eddie Bo (born Edwin Joseph Bocage, New Orleans, Louisiana, September 20, 1930 – March 18, 2009) was an American rhythm and blues singer and New Orleans-style pianist.
Schooled in jazz, he was known for his blues, soul and funk recordings, compositions, productions and arrangements. He debuted on Ace Records in 1955 and released more single records than anyone else in New Orleans other than Fats Domino.

Eddie Bo came from a long line of ship builders with the male members of his family being bricklayers",68072,366014,"Joe Tex, Betty Harris, Ernie K-Doe, Lee Dorsey, Allen Toussaint",,,
Julius Papp,funk (Origen: funk),Canción,A Thousand Years - Sunrise Vocal Extended Mix,2010,5RwQZK5FVCepwmXzJbf3RM,5e5RpLVR1h4ALLwwIQUehA,"Julius Papp is a house music producer and DJ whose roots lie in Disco of the '70s and New Wave of the '80s.

He blends various styles together (including Latin, Afro, Disco, Jazz) with such fluidity that it is difficult at times to put a defining stamp on his sound. Contributing to that is his willingness to take a chance. He always tries to push the envelope by introducing music that may or may not go over well, but feels deserves the exposure. He takes his audience on a musical journey with various mood and energy changes.",41887,187896,"Satin Souls, Weekender, Naked Music NYC, Chuck Love, Central Living","Julius Papp is a house music producer and DJ whose roots lie in Disco of the '70s and New Wave of the '80s.

He blends various styles together (including Latin, Afro, Disco, Jazz) with such fluidity that it is difficult at times to put a defining stamp on his sound. Contributing to that is his willingness to take a chance. He always tries to push the envelope by introducing music that may or may not go over well, but feels deserves the exposure. He takes his audience on a musical journey with various mood and energy changes. <a href=""https://www.last.fm/music/Julius+Papp"">Read more on Last.fm</a>",187896,41887
The Dramatics,funk (Origen: funk),Canción,Toast To The Fool,2010,3Yd3Bbx3LtlcMvA5Tb7wQc,1VSIKzPoSnu9U1bWBBp7OM,"The Dramatics is a soul music vocal group, formed in 1962 with the name The Dynamics. They changed their name by 1967, when they garnered their first minor hit ""All Because of You."" However, the group didn't break through until their 1971 single, ""Whatcha See Is Watcha Get."" Their members at this time were Ron Banks, ""Wee Gee"" Howard, Elbert Wilkins, Willie Ford and Larry Demps. Shortly after the success of their first album, Howard and Wilkins left the group.",351643,2108477,"L.T.D., The Dells, The Stylistics, Enchantment, Blue Magic",,,
Shantisan,funk (Origen: funk),Canción,Que Nego E Esse - Quincy Jointz Remix,2010,3mTOrNVkYpfSqjKkJ4jg1G,2bxG18393sqlDPa5q6p1yI,,849,3786,"Frohlocker, matenlo, Headson Groove, Danny Massure, Jayl Funk",,,
Change,funk (Origen: funk),Canción,If only I could change your mind (Full Length Album Mix),2010,3BNJq9GAdaBcVD8jOlvBTZ,7totOMTeZ7xPuockSWpy0T,"There are at least six bands/artists with the name Change:

1: This great band is one of the best, but also one of the most underrated ensembles in the soul, disco and R&B genres during the first half of the 80s. They created a catchy, smooth and polished disco, and later R&B and pop funk sound, with a touch of heaven. Here is the story about the group that might let them shine a little bit longer and perhaps do so for new music lovers as well, they certainly deserve it!",197257,1488832,"D Train, Evelyn ""Champagne"" King, Shalamar, Melba Moore, Unlimited Touch",,,
Mudbone,funk (Origen: funk),Canción,Our Time,2010,3pAo7F9X9h1oyWCid9ifHA,1yJeDMB7NgT7Bl365viVP5,"There are more than one artist that go by the name Mudbone. Two of them are mentioned below.

I. Gary “Mudbone” Cooper is one of music’s few true individuals. In today’s rigidly formatted times his career has been so astonishingly varied you couldn’t make it up. A starring vocalist with Parliament Funkadelic and co-founder of Bootsy’s Rubber Band; a collaborator with Prince, Herbie Hancock, Jack Bruce, Ginger Baker, Keith Richards, and",602,7433,"Chris Duarte Group, Charly Groove, Andre Foxxe, Val Watson, Belita Woods",,,
Arnold Jarvis,funk (Origen: funk),Canción,What Goes Around - Vincent Kwok Vocal Mix,2010,0SWuJjZvKehyRVhYmMChoc,2QRokILsDysYG7Wt5R9evb,"Throughout his career, Arnold Jarvis has been nothing but consistent - consistent when it comes to getting noticed. His is a brilliant career that began at the prime of his youth. While only a teenager, his voice and talent landed him front and center of the Baltimore Gospel Choir for whom he was a prodigious soloist.

In 1984, modest academic pursuits led him to New York City. However, his talent and love of music did not lie dormant for long. He was drawn to music industry circles and was quickly embraced by them.",24152,98301,"Kenny Bobien, Joi Cardwell, Jihad Muhammad, Stephanie Cooke, Kimara Lovelace","Throughout his career, Arnold Jarvis has been nothing but consistent - consistent when it comes to getting noticed. His is a brilliant career that began at the prime of his youth. While only a teenager, his voice and talent landed him front and center of the Baltimore Gospel Choir for whom he was a prodigious soloist.

In 1984, modest academic pursuits led him to New York City. However, his talent and love of music did not lie dormant for long. He was drawn to music industry circles and was quickly embraced by them. <a href=""https://www.last.fm/music/Arnold+Jarvis"">Read more on Last.fm</a>",98301,24152
Eddie Bo,funk (Origen: funk),Canción,Roamin-Itis,2010,1rhNln9ZuBUaho7dofca4x,3ajZCsPQc48KL5ik17x7QC,"Eddie Bo (born Edwin Joseph Bocage, New Orleans, Louisiana, September 20, 1930 – March 18, 2009) was an American rhythm and blues singer and New Orleans-style pianist.
Schooled in jazz, he was known for his blues, soul and funk recordings, compositions, productions and arrangements. He debuted on Ace Records in 1955 and released more single records than anyone else in New Orleans other than Fats Domino.

Eddie Bo came from a long line of ship builders with the male members of his family being bricklayers",68072,366014,"Joe Tex, Betty Harris, Ernie K-Doe, Lee Dorsey, Allen Toussaint",,,
Arnold Jarvis,funk (Origen: funk),Canción,What Goes Around - Vincent Kwok Vocal,2010,6PaxVZMouDdC9YiUPK0rd1,02M34fpMXJIr7nAy63Bnwb,"Throughout his career, Arnold Jarvis has been nothing but consistent - consistent when it comes to getting noticed. His is a brilliant career that began at the prime of his youth. While only a teenager, his voice and talent landed him front and center of the Baltimore Gospel Choir for whom he was a prodigious soloist.

In 1984, modest academic pursuits led him to New York City. However, his talent and love of music did not lie dormant for long. He was drawn to music industry circles and was quickly embraced by them.",24152,98301,"Kenny Bobien, Joi Cardwell, Jihad Muhammad, Stephanie Cooke, Kimara Lovelace","Throughout his career, Arnold Jarvis has been nothing but consistent - consistent when it comes to getting noticed. His is a brilliant career that began at the prime of his youth. While only a teenager, his voice and talent landed him front and center of the Baltimore Gospel Choir for whom he was a prodigious soloist.

In 1984, modest academic pursuits led him to New York City. However, his talent and love of music did not lie dormant for long. He was drawn to music industry circles and was quickly embraced by them. <a href=""https://www.last.fm/music/Arnold+Jarvis"">Read more on Last.fm</a>",98301,24152
