Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad
Jesse & Joy,Latin (Origen: latin pop),Canción,Chocolate,2010,732VjsqF6mwjL4l7vdlkx1,3o2ISZrrYHFTKUP3DKuvrK,53
Los Tucanes De Tijuana,Latin (Origen: latin pop),Canción,El Centenario,2010,65PXVu64xyXCpKczg4K9Cz,4xxr8BlUMAKDdVRmDIyDjq,63
Ulises Bueno,Latin (Origen: latin pop),Canción,Amada mía,2010,6Yw83UlvRNgQkVgcgoVfAO,5wstPwsG5nAGU7wjpOWHyP,51
Los Buitres De Culiacan Sinaloa,Latin (Origen: latin pop),Canción,Sanguinarios Del M1,2010,4EAhDuoqyRtV4WiuN49OUe,0zoLvMVhdvhHRFSpQpnO8E,68
Rodrigo,Latin (Origen: latin pop),Canción,Me extrañaras,2010,5zZ8Oy2kCaJcFkg8Vtb35B,0wZB11wUoKMA0i9ZipWcVQ,46
Gerardo Ortiz,Latin (Origen: latin pop),Canción,La Ultima Sombra,2010,6Z5k18VPZu4b1IaIQmbecn,7jyBbVcnqfV8vtmyyPJarL,71
Nonpalidece,Latin (Origen: latin pop),Canción,La Flor,2010,2x9kIjm8AejYJCunY9yKOA,20yi48fX2JcQ9JnIlo29bV,55
Diego Torres,Latin (Origen: latin pop),Canción,Mi Corazon Se Fue,2010,1E88SJxVLYXu1VHugFqB4u,3QWLsjiPkGOFLZ7GEBsNhi,44
Ricardo Arjona,Latin (Origen: latin pop),Canción,Usted,2010,4FuMhL7M7Kqdf526MPpraF,6ILI18PjZWhIi3yEoP3PpJ,48
Camila,Latin (Origen: latin pop),Canción,Restos de Abril,2010,7nuvJjaHyyJQKiyCQ9XCPZ,0MPMiyavAbARflBlNGjIA6,45
Marc Anthony,Latin (Origen: latin pop),Canción,Ya Lo Sé Que Tú Te Vas,2010,2pbVPGYrkDwjye0Ji6p7DF,5SGUCNeCuGHbR73Iyh2F7g,38
Shakira,Latin (Origen: latin pop),Canción,Tu Boca,2010,6ja9N12lzBD1TRuQfZb18z,3gR578qnw47M30LVBTjrlW,41
Luis Miguel,Latin (Origen: latin pop),Canción,Decidete,2010,1Bj38BvqH19WTe5AFq3fMJ,2oHF59HQoCwm67wXS4OzPK,55
Ricardo Arjona,Latin (Origen: latin pop),Canción,Vida,2010,2zsy54iGXDG6d1G1hM2UNa,6ILI18PjZWhIi3yEoP3PpJ,43
Luis Miguel,Latin (Origen: latin pop),Canción,Palabra De Honor,2010,4TQ90ljASOU0gnF8T3QKIb,2oHF59HQoCwm67wXS4OzPK,47
La Quinta Estacion,Latin (Origen: latin pop),Canción,Me Muero,2010,0BKcgDA6YWEJSMvhf19ueZ,1QOVPH6w0xGNyZF2KPIzEd,38
Tecupae,Latin (Origen: latin pop),Canción,Sueño Contigo,2010,3ecHlRR3rjvdOzVEyymWJX,7g7pH8sG8UFdV7hxaWJMAy,35
Enrique Iglesias,Latin (Origen: latin pop),Canción,No Me Digas Que No,2010,2MDi2voBc7ppcJSUtMghqW,5JNhQFH8HMKQWP4SITzdoc,38
Dragon & Caballero,Latin (Origen: latin pop),Canción,Dime Si Volverás,2010,7bGpLA0hvOcojfVZfD9jvx,3pdBHYmb4RIIRNS4IWzI7z,45
Fanny Lu,Latin (Origen: latin pop),Canción,Mar De Amor,2010,2jIpTVw07643E6o4MNYV6g,3TqLvZ0wbslp9iEI1yrkh1,36
Camila,Latin (Origen: latin pop),Canción,Me Voy,2010,7iHI6K7jVyjHxRdbdM1NMr,0MPMiyavAbARflBlNGjIA6,45
Chayanne,Latin (Origen: latin pop),Canción,Me Enamoré de Ti - Bachata Version,2010,2WZuXFuwYYQ4kyOerCGsSG,1yaqYlWtlF26KGdroYtfnZ,26
