Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
Hot Toddy,funk,funk,Down to Love,2010,1WJ96y5wT3gQdrDGXEU2ZP,2FpLY1mr3pzDju1ujqRJbA,43,"There are two artists with the name Hot Toddy.

1. ""Hot Toddy"" is the solo moniker for Chris Todd, better known for my work with Crazy P formerly known as Crazy Penis, but has been writing music under the name of Hot Toddy since around 1998. His first releases were on the Nottingham based label Neon Heights and on  the Manchester based label, Paperecordings (the album ""Super Magic"", in 2001).  As Crazy P (at that time Crazy Penis) began to tour the",58451,329322,"Crazy P, Lovebirds, Miguel Migs, Axel Boman, Kraak & Smaak"
The Bamboos,funk,funk,On the Sly,2010,6TjdjwG2ZUWfuKpGxi9KBZ,5hbiYAop80Y2370lZPBGkh,39,"The Bamboos are an Australian deep funk and soul band hailing from Melbourne. Formed in 2000 by guitarist/producer Lance Ferguson, the band has gone through several lineup changes over the years, but Ferguson has remained a constant presence. They initially drew inspiration from the raw funk of the late 1960s and early 1970s, but their sound has evolved over time to incorporate elements of hip-hop, psychedelic pop, and even symphonic arrangements.",294601,3011328,"Smoove & Turrell, Kylie Auldist, Cookin' On 3 Burners, Soopasoul, Lack of Afro"
Joanne Shaw Taylor,funk,funk,Who Do You Love?,2010,5cyg2gV6FhAfj8h757d5L7,3Xa4Y2k4nLdtSoAyM1s5b8,39,"Joanne Shaw Taylor (born 1986, England) is a British blues rock guitarist and singer, who was discovered by Dave Stewart of the Eurythmics at the age of 16.

Taylor has toured Europe with the supergroup D.U.P. with fellow band members Dave Stewart (Eurythmics), Candy Dulfer (Prince), Mudbone Cooper (Parliment-Funkadelic) and Jimmy Cliff. If you can imagine the love child of Stevie Ray Vaughan and Dusty Springfield then you are beginning to get a feel for Taylor's mixture of fiery guitar playing, sultry vocals and 100% pure soul.",75809,1015373,"Walter Trout, Samantha Fish, Joe Bonamassa, Kenny Wayne Shepherd Band, Ana Popovic"
Aloe Blacc,funk,funk,I Need A Dollar,2010,3oUphdZVPyrsprZ8FgbmQS,6G9PvX9f6Dq26JzsiVHIdl,70,"Egbert Nathaniel Dawkins III (born 1979 in Orange County, California), better known by the stage name Aloe Blacc, is an American soul singer, rapper and musician. He began his recording career as an MC back in 1995 when he joined up with hip-hop producer Exile to form the mainstay indie rap group Emanon. Aloe released his debut solo album Shine Through on Stonethrow Records in 2006 and followed this up in 2010 with Good Things. He has also collaborated with the Cradle Orchestra under the name Bee",1214964,14410801,"John Legend, Mayer Hawthorne, Gnarls Barkley, Leela James, Raphael Saadiq"
Soopasoul,funk,funk,Summer Sun,2010,4Iqgo3AwdpGe5oDtB3vOHe,2PRjCxqGZgF6huq9ZrV0rZ,34,"The funk phoenix rises from the flames of rave. 

Soopasoul is that rarest of things in this electronic age of dance music. A band where everything is played in live, where loops and plug-ins are passed over in favour of a drum kit in the living room, guitars and bass that are lying around and a funky horn section so steeped in tradition that you can feel the real deal being played out in front of your ears. 

Danny Hybrid the man behind Soopasoul grew up in Manchester and has been a music pioneer since the age of 14.",36253,226312,"Basement Freaks, Smoove & Turrell, The Allergies, Gizelle Smith, Timewarp inc."
Maxipaul,funk,funk,Funky Bad Beat (Klubbed Mix),2010,7J6PMEt87gELNyxLfBUTNN,77W1xlDEor6DKVfCSvV8ko,3,,307,1209,"Head Horny's, dj miguel serna, Alfredo pareja, Ismael Lora, Head Horny's & DJ Miguel Serna"
Wild Cherry,funk,funk,Play That Funky Music - Single Version,2010,1Zg71dOvDOf63sXwYEnGol,1k7WkNHGPNPnri2tsowvtg,44,"Rob Parissi (lead vocals & guitar) was raised in the tough, diverse steel mill town of Mingo Junction, Ohio. Parissi graduated from Mingo High School in 1968. Rob formed his first band in 1970 in Steubenville, Ohio, one mile north of Mingo Jct. along the Ohio River. The band's name ""Wild Cherry"" was selected off a box of cough drops while Rob was recuperating from a brief hospital stay. The band played the Ohio Valley region, the West Virginia panhandle, and Pittsburgh, Pennsylvania. The original lineup is not known.",741815,4077774,"KC and The Sunshine Band, Hot Chocolate, The Trammps, Carl Carlton, Heatwave"
Delegation,funk,funk,Darlin' (I Think About You),2010,1NQFeJQOvirHNJ4lp17XUZ,1um0JgV0FOnEg3UA0IF2hc,45,"1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's",471965,3340878,"William Devaughn, Shalamar, Patrice Rushen, Evelyn ""Champagne"" King, Change"
"Earth, Wind & Fire",funk,funk,September,2010,3mL0pzaHLsjJoaGfvQWyD5,1k7WkNHGPNPnri2tsowvtg,40,"Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk.",2839946,46411748,"Kool & the Gang, Brothers Johnson, Commodores, Stevie Wonder, Chic"
Odyssey,funk,funk,Going Back to My Roots - Single Version,2010,3wX42sUHbYqIC1ILpa4Akm,0pvhletDH7CphbKErUtPCF,38,"Odyssey is a name of at least nineteen acts:

1) A New York based U.S. billboard charts scored dance act.
2) A U.S. psychedelic rock group
3) A Swedish progressive metal band by Dan Swanö
4) A German eurodance project
5) A Greek project name used by Vangelis
6) A U.S. drum & bass producer
7) A later name of a band called Oracle
8) A U.S. Motown album by a pop group from 1972
9) A Brent Smedley (Iced Earth's drummer) solo group
10) A Polish electronica/ambient project",304970,1989752,"Tavares, Shalamar, The Three Degrees, Rose Royce, Sister Sledge"
