Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
Funk Amp,funk,deep funk,Get Some,2010,1MTUqMAK8cUsazIarCNNUS,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
J&M Brothers,funk,deep funk,Way To Funk - Edmund Remix,2010,73usZqI2YVMaxEL6OJucv4,3Mnv3cXgZW6f8Y7WMDj2j6,0,,1475,4969,"Seva K, Mic Newman, Moodtrap, Pirupa, Fabien Kamb"
Funk Amp,funk,deep funk,A Funny Track,2010,2rS7oWcH6FDN4K9Psz01Qq,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
DJ Lvov,funk,deep funk,Funkybeat,2010,69rJgCmG3kRuKQCph9Hxm1,3os69tevRKqOrJ58rHYdHh,0,,1083,12188,"DJ Solovey, DJ Jim, Dj Alex Spark, DJ JIM [www.DJJIM.RU], Dj Lev"
Raphael Wressnig,funk,deep funk,Diggin' Deeper Into The Funk,2010,26vKT4ypoLduHGzoN5fMwV,36v0p1e6oItG6PD4CMZCge,0,"Throughout the years Raphael Wressnig created his very own explosive and yet elegant organ style and quickly became well established as one of the icons of the new generation of organ players and a well respected figure in the international jazz and blues scene. Raphael Wressnig was born on the 14th of October 1979 in Graz, Austria. He started to learn various styles of playing the piano and the organ like Blues, Jazz and Funk as an autodidact at the age of 16.",2670,13647,"Yihequan, Paolo ""Apollo"" Negri, Raphael Wressnig & Alex Schultz, Barbara Dennerlein, Dave Lennox"
Raphael Wressnig,funk,deep funk,Diggin' Deeper Into The Funk,2010,3yosoW37Yg8XULOt09NvWl,52UswjPNMYZsHPCrZovMoV,0,"Throughout the years Raphael Wressnig created his very own explosive and yet elegant organ style and quickly became well established as one of the icons of the new generation of organ players and a well respected figure in the international jazz and blues scene. Raphael Wressnig was born on the 14th of October 1979 in Graz, Austria. He started to learn various styles of playing the piano and the organ like Blues, Jazz and Funk as an autodidact at the age of 16.",2670,13647,"Yihequan, Paolo ""Apollo"" Negri, Raphael Wressnig & Alex Schultz, Barbara Dennerlein, Dave Lennox"
Deep Blast,funk,deep funk,Bring the Funk - Aki Bergen Remix,2010,47SzrhZDvYFdGuVQX1Z9DC,3mXZT0SZhbKpzOsaNNqIvj,0,,538,1481,"Lopatyn, Don Gorda, Blue Wave, Krzysiek Kozak, Key-note, N-Zino, Frankie Granato"
Deep Blast,funk,deep funk,Bring the Funk - Aki Bergen Remix,2010,5cvNwIcLSXcwaxr0LZrMYm,3oAlhPdvShw5QtfsLuBPCK,0,,538,1481,"Lopatyn, Don Gorda, Blue Wave, Krzysiek Kozak, Key-note, N-Zino, Frankie Granato"
Deep Blast,funk,deep funk,Bring the Funk - Aki Bergen Remix,2010,5TBfu0vZXwpuxPxfOR3RV1,4Tl6fREp8CUzWClNHtoGM3,0,,538,1481,"Lopatyn, Don Gorda, Blue Wave, Krzysiek Kozak, Key-note, N-Zino, Frankie Granato"
Funkadeluxe,funk,deep funk,Mindwash,2010,7f67xVwMplRnw7vwG4ppmH,6crmhiZHwQviOQOWiduTvI,0,,999,2623,"Luis Guerra, Tito Torres, Juicy Lotta, DJ Boost, JamLimmat"
Deep Blast,funk,deep funk,Bring the Funk - Varna Bros Dub Mix,2010,54S82owpZVH3RnIqZoExtL,3mXZT0SZhbKpzOsaNNqIvj,0,,538,1481,"Lopatyn, Don Gorda, Blue Wave, Krzysiek Kozak, Key-note, N-Zino, Frankie Granato"
Deep Blast,funk,deep funk,Bring the Funk - The Tricky Dude Mix,2010,70ScAPxWpxGzG02DlhtyPF,3mXZT0SZhbKpzOsaNNqIvj,0,,538,1481,"Lopatyn, Don Gorda, Blue Wave, Krzysiek Kozak, Key-note, N-Zino, Frankie Granato"
Funk Amp,funk,deep funk,Play for Free - Hammond Flava Mix,2010,26yIEdzflGbqMSlFsCBY25,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Talkbox Radio,funk,deep funk,How Deep Is Ur Love (feat. Gfunk & Baby D),2010,4KhifG8L4xcA62tCEK3ZnL,1Oym3ReQjnLSOHunjoYl8v,2,,187,902,"Dogg Master, DJ AK, K-Dee, XL Middleton, Enois Scroggins"
Walter Fargi,funk,deep funk,The Funk - Original Extended,2010,2txXtGgM1nb4zAoSwC5jWv,2F3sASIc89fNakweR5kADv,0,,139,400,"Peruz vs. Frank Nastri, The Afronauts, Punk Deluxe, Saint Martin, Acapulco"
Aboga,funk,deep funk,Excuse Me - Patric La Funk & Timo Becker Remix,2010,6Vds29weCzdouGJZYrzuMV,26IyolF9oATqbgmkmISdNM,0,,402,1317,"Nosecuenta, NueveDoz, Rolando Fino, Frainstrumentos, Franz Mesko"
Funk Amp,funk,deep funk,Not Quite,2010,5yLBupBsOO4QfQDNss6FVL,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Inaya Day,funk,deep funk,Til the Morning Comes - Funkellers Deep Tribal Mix,2010,4KRwHfEyF7HEUe4o53jcwD,1zfy9nLTht9e1zxyJtockZ,0,"Inaya Day (born Inaya Davis, January 17, 1977, New York) is an American singer. Inaya Day began singing in church as a young child, where she got her first experience in performing. She attended the prestigious High School of Music and the Performing Arts, and went on to study musical theater at the University of Bridgeport in Bridgeport, Connecticut. Day has also appeared on Broadway, notably as understudy to Stephanie Mills as ""Dorothy"" in The Wiz, and stepped into the lead role in Washington, D.C. and St. Louis, Missouri.",55192,255089,"Seamus Haji, Suzanne Palmer, Freemasons feat. Amanda Wilson, Dave Armstrong, Dirty Old Ann"
Inaya Day,funk,deep funk,Til the Morning Comes - Funkellers Deep Tribal Mix,2010,0ME4YO2oF8voA20CYPsBJV,29jbqerFF73CGPc0dEq3Cg,0,"Inaya Day (born Inaya Davis, January 17, 1977, New York) is an American singer. Inaya Day began singing in church as a young child, where she got her first experience in performing. She attended the prestigious High School of Music and the Performing Arts, and went on to study musical theater at the University of Bridgeport in Bridgeport, Connecticut. Day has also appeared on Broadway, notably as understudy to Stephanie Mills as ""Dorothy"" in The Wiz, and stepped into the lead role in Washington, D.C. and St. Louis, Missouri.",55192,255089,"Seamus Haji, Suzanne Palmer, Freemasons feat. Amanda Wilson, Dave Armstrong, Dirty Old Ann"
Walter Fargi,funk,deep funk,The Funk - Original Extended,2010,3uczAb9IwLIk09Na2OVQfD,44yxEoY6hwqrsDiiZsHeRh,0,,139,400,"Peruz vs. Frank Nastri, The Afronauts, Punk Deluxe, Saint Martin, Acapulco"
Stex,funk,deep funk,Funked Up,2010,0enMS8HDir1hPi8zqmZ43p,6BxCgQ1OTJAT9onSeukXZN,0,"There are multiple artist under the name ""Stex"":

Early dance 90s act produced by Darren Allison and Steven Spacek.
They recorded the album ""Spiritual Dance"" and some singles like ""Still Feel The Rain"" or Boys Are Vain"".
Ukrainian pop artist from early 2000s (real name - Ярослав Стаховский). Known for getting featured in a TV-show ""SHIT-парад"" on MTV, with a video to the song ""Bla-Bla-Bla"".",1711,7236,"NLP, Enough Weapons, Jayl Funk, Johnny Marr + The Healers, Plicherss"
Walter Fargi vs. Manuel Deep,funk,deep funk,The Funk - Radio Edit,2010,5rD7JF8bQBDf0ty3JaFSrX,7MfK1REAIDW9PYEoo3u0nF,0,,3,5,
Longe Beach Grooves,funk,deep funk,Funky Town,2010,1CuDQbWcbhdePgNyecnBhP,2mbKPTFmoePkCZE8H7zDpR,0,,40,97,
Walter Fargi,funk,deep funk,The Funk - Original Extended,2010,4rMHDNKoe16wJ0XLRh8FMP,1lAvPozCROgcbUsxDtShc5,0,,139,400,"Peruz vs. Frank Nastri, The Afronauts, Punk Deluxe, Saint Martin, Acapulco"
Funk Amp,funk,deep funk,Red Ball,2010,7LXabS1TPYi6vT9x2SCJLm,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Funk Amp,funk,deep funk,Hot Body,2010,66QUWaDudZIsLceHFje3ef,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Deep Fried Green Tomatos,funk,deep funk,Srcamble eggs - Vocal Mix,2010,1uhvGRFSdrBXneoFtyOcUz,4pLflwCp6SHXvd8LD1wQdb,0,,9,13,
Schwarz & Funk,funk,deep funk,Deep Emotion - Original Mix,2010,2qDfkp8EVsdvGi689MObm4,5YBfXn5fZ94e2Vg4y3cjvF,0,"SCHWARZ & FUNK is a House & Lounge sound project created by the german producers Bob Schwarz and Jesse Funk in 2001. Inspired by the Balearic House vibes of Ibiza, Bob and Jesse created their own sound of House, Lounge, Chillout and Ambient tunes. By now SCHWARZ & FUNK proved to be a long-time project, very successful and loved by music enthusiasts all over the planet.

Being professional and passionate musicians themselves, they frequently work together with other outstanding musicians and singers.",85210,728598,"Velvet Dreamer, Velvet Lounge Project, Tullio, DJ Maretimo, Polished Chrome"
"Dj Pruess & Moritz, Cristian, DJ Pruess, Moritz",funk,deep funk,Tribal Funk,2010,2NZujf0O3jjmazbaRkWuaW,7J8xDpoCA5nzboZHgrjemK,0,,2,6,
Walter Fargi,funk,deep funk,The Funk (Robert Fulton Bass Attack),2010,6uVnRKJvaRoygwasGpuKlG,5E1ZuFNIoIHDgEFlU3BphH,0,,139,400,"Peruz vs. Frank Nastri, The Afronauts, Punk Deluxe, Saint Martin, Acapulco"
Walter Fargi,funk,deep funk,The Funk - Original Extended,2010,6wKhjlwicQv9hDbn0UZFEd,3yy6fsjiIqgNcsGJzoR1xd,0,,139,400,"Peruz vs. Frank Nastri, The Afronauts, Punk Deluxe, Saint Martin, Acapulco"
Walter Fargi vs. Manuel Deep,funk,deep funk,The Funk - Walter Fargi Remix,2010,5pFfLAbbZN0dMOQDsrgaBJ,7diMu5ysfJJSxWH0gjw5Fj,0,,3,5,
Funk Amp,funk,deep funk,Lay Deep,2010,1gPKUMtn0gL7aPv485hgxD,1DSl9xeG2WuLeZglVzC5ok,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Funk Amp,funk,deep funk,Lay Deep,2010,2UKU8TeVKUIFCfNORTl8Vg,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Stex,funk,deep funk,Funky Whoop (Original Mix),2010,0VS6gPMqU1Y55da6MWsvmB,6BxCgQ1OTJAT9onSeukXZN,1,"There are multiple artist under the name ""Stex"":

Early dance 90s act produced by Darren Allison and Steven Spacek.
They recorded the album ""Spiritual Dance"" and some singles like ""Still Feel The Rain"" or Boys Are Vain"".
Ukrainian pop artist from early 2000s (real name - Ярослав Стаховский). Known for getting featured in a TV-show ""SHIT-парад"" on MTV, with a video to the song ""Bla-Bla-Bla"".",1711,7236,"NLP, Enough Weapons, Jayl Funk, Johnny Marr + The Healers, Plicherss"
Funk Amp,funk,deep funk,Jay Jack - Special Combo Mix,2010,57lan4beoxHZtetaWSbQJ8,3tCCAVS96TahYqAdckL2Uk,0,,60,177,"Groove Gate, Nooxy, Fluido B, DJ Kenny Mitchell, Sam Pena"
Walter Fargi vs. Manuel Deep,funk,deep funk,The Funk (Robert Fulton Bass Attack),2010,3zX9y64S7y0hiqyA6xLRtO,52fP1IzV80kgmgwJwzDpUk,0,,3,5,
Hard Forces,funk,funky,Funky Beat,2010,2eW0z4QiGlryn67zMdjab4,5mgb3bihM5FlVnCQNWPEaw,1,,152,643,"Bassdrum Project, Dj Ogalla, DJ Nenna vs DJ Teyo, Da Bang Bros, Dj Valera"
The Bahama Soul Club,funk,funky,Bossa Corcovado,2010,6wZoVeU2mEKlP3MTbQBxLC,61P8nl7hsa8vFj5d3rDL6q,42,"Following the smashing success of The JuJu Orchestra, the creative team around Oliver Belz has come up with the next step: A delicious clash of soul, jazz and latin with that unique vintage feel.

So what do you expect from one of the brains behind the Juju’s brilliant BOSSA NOVA IS NOT A CRIME? Well you’ll get an impressive demonstration of the latest defining of superb dancefloor-jazz which makes this music welcome to DJ’s worldwide. 

RHYTHM",83237,808662,"Mo' Horizons, Mop Mop, Club Des Belugas, S-Tone Inc., Brenda Boykin"
La Renken,funk,funky,Funky Feeling,2010,2mhMY2joxFDoxpFj4TMdPU,5wjPKfWdn2zZIUeXa91uM5,15,,867,5499,"los filipz, Los Calypsos, Laguna Pai, Pochi Marambio y Tierra Sur, La Mente"
The Heroes,funk,funky,Funky Message,2010,0ggnJniA6aLZ7wZcgqaCwa,6Kp2gDAhQtnABXDuPeyCoX,14,"There are at least two bands called The Heroes:

1) The Heroes were an English rock band formed in 1979 with Chris Bradford and Mark Hankins on guitar and vocals. The line-up was completed by Pete Lennon (lead guitar), Dave Powell (drums) and ex-Randy band member Brian (Wally) Wallis on bass guitar.

Although primarily an intake group, they led with Dr. Feelgood toured Germany and played the Olympianhalle in Munich and the Top Ten Club in Hamburg.",3035,11325,"Phillip Malela, The S.A. Move, George Garanian With The Melodiya Jazz Ensemble, Flaming Souls, The Klooks"
Nateki,funk,funk,Funk de Beleza - Slowed,2024,43jExF2HeZ6cJIGrWF0ie4,4s7LxMlh6RxgdMhldfMe8u,77,,155762,1475444,"SCYTHERMANE, Sayfalse, repsaj, NAKAMA, MXZI"
Nateki,funk,funk,Funk de Beleza - Super Slowed,2024,40xQwnD5f7OrNu94C8JSFv,2FYUTwO1qThogYrfAuPBw6,50,,155762,1475444,"SCYTHERMANE, Sayfalse, repsaj, NAKAMA, MXZI"
SXID,funk,funk,Funk of Galáctico - Super Slowed,2024,3DDvItp05D2BREdeunnaB2,0cpfgDzjHZuYfiBc7jPsn6,61,,183976,2281143,"LXNGVX, ogryzek, PXLWYSE, Slowboy, -Prey"
DYGO,funk,funk,FUNK INFERNAL,2024,56BZSVROHDzuiYM8C2Zv3y,3Iw0jAPzwgmuqSIWQa9i8W,74,,103605,1149060,"MXCCREE, SCYTHERMANE, ariis, HIMXN, Sayfalse"
Irokz,funk,funk,FUNK UNIVERSO,2024,466x7CJlVwiFdNTLvIXwZl,1kmsUHDC0n611meNgzRkuw,73,,89671,1418030,"Mckyyy, Jim Yosef, Mishashi Sensei, Elektronomia, Spektrem"
h6itam,funk,funk,FUNK OSCURO - Super Slowed,2024,4Ha6W6v9DSTecYYtovtvg7,4hBpayDWGOGsgnwFY8qm3G,66,,94140,1419150,"Sayfalse, NAKAMA, gxmz, flame runner, NXGHT!"
xxanteria,funk,funk,FUNKED UP - SLOWED,2024,4VL5XwfATZuAVTW471Wpro,4FRxgE6LA2UGJ5yz8diaI9,72,,382259,5760878,"removeface, mofe., VAGUE003, Griffinilla, Jagwar Twin"
Irokz,funk,funk,FUNK UNIVERSO - Slowed,2024,1M1BRaWQvtw9Fxyqzy4vP2,1kmsUHDC0n611meNgzRkuw,67,,89671,1418030,"Mckyyy, Jim Yosef, Mishashi Sensei, Elektronomia, Spektrem"
Astora,funk,funk,FUNK ESTRANHO - SUPER SLOWED,2024,6zNJ6JW1Ov5qERrsC3mfeu,74uo4Lv0VMyxdOjlf40y1T,60,"Astora hails from the small state of Maryland, and is composed of four 20-something boys. 

Originally Astora was The Duals, consisting of only Kevin Sullivan and Josh Cook, two long time friends. Josh took care of the guitar and bass, while Kevin lended the band his drum and vocal skills. 

During late summer/early fall The Duals acquired Brian Flora on bass, and thus became known as 'Vice'. Sadly after a few gigs, both Kevin and Brian left for college",25142,151397,"DJ FNK, Polaris, ogryzek, 2KE, TREN, MC Da 12, RD12, ariis"
$werve,funk,funk,FUNK DO BALKAN - Slowed,2024,5Nk4wgj4fmvue8sCs2kSlX,6PZBt4XZvd1ElHAHG31J1j,62,"$werve (Alex) is a 16-year-old multigenre producer from London, specialising in Phonk House, Brazilfunk (/Automotivo), and Krushclub. Most known for tracks such as ""TOMA TOMA TOMA"", ""krushed!"", and ""BALADINHA SINISTRA"", $werve saw rapid success in 2021 with his debut ""CITY LIGHT$"" at just 13 years of age, and is a firm frontrunner of the phonk/funk movement.",383711,5480561,"LXNGVX, SCYTHERMANE, -Prey, TOKYOPHILE, S4nri0"
Irokz,funk,funk,FUNK UNIVERSO - Sped Up,2024,4pEPlKUxJs9OAth5ez5MB7,1kmsUHDC0n611meNgzRkuw,51,,89671,1418030,"Mckyyy, Jim Yosef, Mishashi Sensei, Elektronomia, Spektrem"
Astora,funk,funk,FUNK ESTRANHO - SLOWED,2024,59D9L33TSRGsUsFgOx2n7U,5GIyIjFZPA4SJFD4jTGg0E,52,"Astora hails from the small state of Maryland, and is composed of four 20-something boys. 

Originally Astora was The Duals, consisting of only Kevin Sullivan and Josh Cook, two long time friends. Josh took care of the guitar and bass, while Kevin lended the band his drum and vocal skills. 

During late summer/early fall The Duals acquired Brian Flora on bass, and thus became known as 'Vice'. Sadly after a few gigs, both Kevin and Brian left for college",25142,151397,"DJ FNK, Polaris, ogryzek, 2KE, TREN, MC Da 12, RD12, ariis"
SXID,funk,funk,Funk of Galáctico,2024,6fxeXlCSt4WLVlbqxgUBMB,0cpfgDzjHZuYfiBc7jPsn6,69,,183976,2281143,"LXNGVX, ogryzek, PXLWYSE, Slowboy, -Prey"
Nateki,funk,funk,Funk de Beleza,2024,0JVQNtkzrqGBRTK9rqySxh,4s7LxMlh6RxgdMhldfMe8u,63,,155762,1475444,"SCYTHERMANE, Sayfalse, repsaj, NAKAMA, MXZI"
Ariis,funk,funk,FUNK DO BOUNCE (Slowed),2024,7IBqHkoP94VrgYKVns4eNz,6Zd0Hg3HKVH7xhBPgESQy1,78,,347855,4413613,"MXZI, repsaj, ARXMANE, Anar, CURSEDEVIL"
h6itam,funk,funk,FUNK OSCURO - Ultra Slowed,2024,3jzk1mhg5dOaQl3GzYymjz,4hBpayDWGOGsgnwFY8qm3G,54,,94140,1419150,"Sayfalse, NAKAMA, gxmz, flame runner, NXGHT!"
Irokz,funk,funk,FUNK ESTRELAS,2024,6flcKSeGCUziSEqLS7Fsu1,4AgF4s8GsmeN8MEJTCjnhV,53,,89671,1418030,"Mckyyy, Jim Yosef, Mishashi Sensei, Elektronomia, Spektrem"
DYGO,funk,funk,FUNK INFERNAL (ULTRA SLOWED),2024,3am4kuW9mpjF1P3j2uyF75,3IqPOUl4tF73MdrG3twfdH,60,,103605,1149060,"MXCCREE, SCYTHERMANE, ariis, HIMXN, Sayfalse"
Ariis,funk,funk,FUNK DO BOUNCE (Ultra Slowed),2024,6HQuX6qnT40GQWbelTTkym,3Jsv5AOCckaYeZqBTULSVj,53,,347855,4413613,"MXZI, repsaj, ARXMANE, Anar, CURSEDEVIL"
DYGO,funk,funk,FUNK INFERNAL (SLOWED),2024,0VAeFJybwdYFrLpAgm480Y,3OAxe2AlxjSfVt1zSGtWqS,65,,103605,1149060,"MXCCREE, SCYTHERMANE, ariis, HIMXN, Sayfalse"
Irokz,funk,funk,FUNK UNIVERSO - Super Slowed,2024,08IpSc933CfDFYKqzpmBNI,1kmsUHDC0n611meNgzRkuw,62,,89671,1418030,"Mckyyy, Jim Yosef, Mishashi Sensei, Elektronomia, Spektrem"
xxanteria,funk,funk,FUNKED UP,2024,5NtwTPKQLkAG5XC0Vj6L2l,4FRxgE6LA2UGJ5yz8diaI9,58,,382259,5760878,"removeface, mofe., VAGUE003, Griffinilla, Jagwar Twin"
Ariis,funk,funk,FUNK DO BOUNCE,2024,7etchTu0yJDGvk55gIQADV,3f175qIw4LVA5Gc26g4UYy,63,,347855,4413613,"MXZI, repsaj, ARXMANE, Anar, CURSEDEVIL"
bear bear & friends,funk,funk,VILLAGE FUNK!,2024,42u0WSyUC2Ye8Yz7sNNtfn,1pE20KC4WstLgnvFYDChr0,63,bear bear & friends is a LA-based electronic music producer,43685,407221,"Biicla, yungalligator, Adam Jamar, Arman Cekin, Łaszewo"
h6itam,funk,funk,FUNK OSCURO - Slowed,2024,4s5PpK1xuF6ICuw7H2Q9ym,4hBpayDWGOGsgnwFY8qm3G,58,,94140,1419150,"Sayfalse, NAKAMA, gxmz, flame runner, NXGHT!"
h6itam,funk,funk,Funk Secreto - Ultra Slowed,2024,1XBarxRIZkpNzIqj2IlIMe,2bqWrlHmNh4M41xOr0p7iN,59,,94140,1419150,"Sayfalse, NAKAMA, gxmz, flame runner, NXGHT!"
Rian Milo,funk,funk,Funky Daze,2024,1yMvkJ9BHWldrrqgAqlImL,5BEnLM2GRiMqUNbPEVgWYS,49,,7990,60698,"Ording, Bibano Beach Club, Relaxatronica, ME80, Golden Sands Of Ibiza"
DYGO,funk,funk,FUNK INFERNAL (SUPER SLOWED),2024,5qVFC3hDLKdLYRvC2oBGo7,0RCQaTv3lXxpxuARK4VKgO,59,,103605,1149060,"MXCCREE, SCYTHERMANE, ariis, HIMXN, Sayfalse"
Anitta,funk,funk,Funk Rave,2024,6vH8KKSB66dcnCw00N5K0R,6z6VObudfoxrvGNC5MtiTY,58,"Larissa de Macedo Machado, known professionally as Anitta, is a Brazilian singer, songwriter, dancer, businesswoman, and TV presenter. She rose to national fame with the release of her single ""Show das Poderosas"" in 2013.

After achieving commercial success with her debut single ""Meiga e Abusada"" in 2012, she signed a recording contract with Warner Music Brazil in January 2013. In July of the same year, she released her self-titled debut album which produced four successful singles and was certified platinum in Brazil.",1149050,145204713,"PEDRO SAMPAIO, Luísa Sonza, Lexa, Pabllo Vittar, POCAH"
$werve,funk,funk,FUNK DO BALKAN,2024,7AagotatgufwZWhQf2RXoW,6PZBt4XZvd1ElHAHG31J1j,59,"$werve (Alex) is a 16-year-old multigenre producer from London, specialising in Phonk House, Brazilfunk (/Automotivo), and Krushclub. Most known for tracks such as ""TOMA TOMA TOMA"", ""krushed!"", and ""BALADINHA SINISTRA"", $werve saw rapid success in 2021 with his debut ""CITY LIGHT$"" at just 13 years of age, and is a firm frontrunner of the phonk/funk movement.",383711,5480561,"LXNGVX, SCYTHERMANE, -Prey, TOKYOPHILE, S4nri0"
Anitta,funk,funk,Double Team,2024,3JoGZZobxsyQghxcAoW013,6z6VObudfoxrvGNC5MtiTY,57,"Larissa de Macedo Machado, known professionally as Anitta, is a Brazilian singer, songwriter, dancer, businesswoman, and TV presenter. She rose to national fame with the release of her single ""Show das Poderosas"" in 2013.

After achieving commercial success with her debut single ""Meiga e Abusada"" in 2012, she signed a recording contract with Warner Music Brazil in January 2013. In July of the same year, she released her self-titled debut album which produced four successful singles and was certified platinum in Brazil.",1149050,145204713,"PEDRO SAMPAIO, Luísa Sonza, Lexa, Pabllo Vittar, POCAH"
chipbagov,funk,funk,Tak Tak Funk - Slowed,2024,6M3I9HkUaMaqXv9fila3mG,54POCC4afJQ4eUNhofNpTf,65,,118449,1311852,"SHPACKYOU$, GLWKMOD, Pluxry SkUrt, EVVORTEX, 5admin"
Ariis,funk,funk,FUNK DO BOUNCE (Super Slowed),2024,6l2pIoyZcKbECt1fAuH09W,3iLGsDXCECyIGNa0kTs7GH,59,,347855,4413613,"MXZI, repsaj, ARXMANE, Anar, CURSEDEVIL"
DJ RITMO DIVINO,funk,funk,MOTIVATION FUNK,2024,3bTgDz5Dx5u6LY2KppJvAV,5pGW8YHPiREJxEZu1wFgg6,61,,11232,65643,"MC UN POCO ALTO, xxxcharacter, CHMCL SØUP, BLVCK COBRV, DR MØB"
Sevdaliza,funk,funk,Alibi (with Pabllo Vittar & Yseult),2024,5496lks6V3fh1mZAB6IAap,2m0euKZUDcoyEXHIS5MFCq,77,"Sevda Alizadeh (born 1 September 1987), known professionally as Sevdaliza, is an Iranian-Dutch singer and songwriter. Born in Iran and based in Rotterdam, The Netherlands, she was originally a professional basketball player before embarking upon a music career. Her music has been described as a fusion of trip hop, experimental pop, and alternative R&B, while incorporating influences from various other sources.

Sevdaliza's visually sophisticated music videos caught the attention of many international blogs and magazines",1036526,29786841,"Eartheater, Kelela, FKA twigs, Kelsey Lu, Abra"
DJ Paulinho Mondi Da Baixa Baviera,funk,funk,Beeper Funk - Slowed,2024,02WKo37gebkkQKor2TCuTk,5eEfzNcFaXPsBXJzkPiD3S,67,,106368,899691,"DJ Exe, TOKYOPHILE, fennecxx, DJ ANXVAR, ariis"
NXGHT!,funk,funk,BLUE HORIZON FUNK - SLOWED,2024,6ISgjQNYq70ahUOL9rOrcz,5jXbkZ8fgtvq5OufR9LJz4,66,"NXGHT! is a Brazilian music producer whose work seamlessly blends phonk, electronic, and dark atmospheric elements. His music is high-energy, raw, and intense, creating a unique space in the underground music scene. What started out as a hobby of making beats has quickly turned into a flourishing career, making NXGHT! one of the most exciting figures in the genre today.

Although details about his real name, birthdate, and early life remain unknown, NXGHT!’s music speaks for itself.",77930,961342,"SCYTHERMANE, Sayfalse, S4nri0, fennecxx, DJ MH"
Sayfalse,funk,funk,PYTHON FUNK,2024,4YvxfQF9QCXykqi2ahREC4,7JslfZtjZ430btdARyxLQ4,64,,214091,3979210,"SCYTHERMANE, NAKAMA, MXZI, repsaj, Nateki"
Oden & Fatzo,funk,funk,Tell Me What You Want,2024,7pPMx57fvpINMYGE0eZFhp,6MsZpxCoyp11InGYChBvtZ,71,"The electronic live trio is a Parisian underground singularity. 
After hitting numerous clubs, the ensemble is on the road again to explore new venues and spread their erratic vibes.
Their music is a continuous flow of complex grooves with broke rhythms mixing minimal, house and funky techno music infusing bright and psychedelic ambiances.",269979,2693694,"Noizu, Bellaire, sometimes jah, Never Dull, Sunflwr"
THE BOX,funk,funk,THE BOX MEDLEY FUNK 2,2024,7IFsTX5H1sWcEl8joV0IdD,0dW6ozKchun19vdN4BSIUy,70,"There are, at least, three artists named The Box.

1) A Montreal, Canada new wave band, formed 1981 by Jean-Marc Pisapia (an early member of Men Without Hats). The band was re-started, in 2003, with new lineup.
Originally, Jean-Marc recruited guitarist Guy Florent and bassist Jean-Pierre Brie for the band, who were originally known as Checkpoint Charlie before settling on the name The Box.  After a 15-year hiatus the band released their fifth album, the progressive-rock flavored ""Black Dog There"" on Komfy-Universal.",176493,3918961,"Spoons, Strange Advance, Platinum Blonde, Gowan, The Fixx"
PEDRO SAMPAIO,funk,funk,CAVALINHO,2024,1MAveYqPQN88vAvsrHCCCw,0bbhibmbqLzyNrNonJeZX4,63,"Pedro do Espirito Santo Sampaio (born 22 December 1997), better known as Pedro Sampaio (stylized in all caps) is a Brazilian DJ, music producer and singer. 

At the age of 13, he began to discover his talent for percussion playing in a bucket and was then convinced his father to buy a tambourine, repinique, and timbal. A year later, he was discovered by Victor Junior while DJing at his father's friend's party. He joined Dennis DJ's team at age of 17.",492195,22287689,"Lexa, POCAH, Luísa Sonza, Anitta, Lia Clark"
Ogryzek,funk,funk,AURA,2024,6DvGOGRRjhURCE7weXWV3x,3P9fQkS77D9N2GEJl6wHrs,73,"Sebastian Kryrstian Ogryzek (born 2003) known simply as Ogryzek is a Polish music producer. His musical style has been described as Brazilian funk, drawing inspiration from artists like PXLWYSE and Eternxlkz.
Ogryzek skyrocketed to fame on Tik Tok with his viral tracks GLORY &  AURA.",253361,4653399,"SXID, LXNGVX, TOKYOPHILE, -Prey, LDRR"
