Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Anitta,funk (Origen: funk),Canción,Double Team,2024,3JoGZZobxsyQghxcAoW013,6z6VObudfoxrvGNC5MtiTY,57,Funk Generation,2024,Anitta,"Larissa de Macedo Machado, known professionally as Anitta, is a Brazilian singer, songwriter, dancer, businesswoman, and TV presenter. She rose to national fame with the release of her single ""Show das Poderosas"" in 2013.

After achieving commercial success with her debut single ""Meiga e Abusada"" in 2012, she signed a recording contract with Warner Music Brazil in January 2013. In July of the same year, she released her self-titled debut album which produced four successful singles and was certified platinum in Brazil. <a href=""https://www.last.fm/music/Anitta"">Read more on Last.fm</a>",145204713,1149050
Ariis,funk (Origen: funk),Canción,FUNK DO BOUNCE (Super Slowed),2024,6l2pIoyZcKbECt1fAuH09W,3iLGsDXCECyIGNa0kTs7GH,59,FUNK DO BOUNCE (Super Slowed),2024,Ariis," <a href=""https://www.last.fm/music/ariis"">Read more on Last.fm</a>",4413613,347855
DJ RITMO DIVINO,funk (Origen: funk),Canción,MOTIVATION FUNK,2024,3bTgDz5Dx5u6LY2KppJvAV,5pGW8YHPiREJxEZu1wFgg6,61,MOTIVATION FUNK,2024,DJ RITMO DIVINO," <a href=""https://www.last.fm/music/DJ+RITMO+DIVINO"">Read more on Last.fm</a>",65643,11232
Sevdaliza,funk (Origen: funk),Canción,Alibi (with Pabllo Vittar & Yseult),2024,5496lks6V3fh1mZAB6IAap,2m0euKZUDcoyEXHIS5MFCq,77,Alibi (with Pabllo Vittar & Yseult),2024,Sevdaliza,"Sevda Alizadeh (born 1 September 1987), known professionally as Sevdaliza, is an Iranian-Dutch singer and songwriter. Born in Iran and based in Rotterdam, The Netherlands, she was originally a professional basketball player before embarking upon a music career. Her music has been described as a fusion of trip hop, experimental pop, and alternative R&B, while incorporating influences from various other sources.

Sevdaliza's visually sophisticated music videos caught the attention of many international blogs and magazines <a href=""https://www.last.fm/music/Sevdaliza"">Read more on Last.fm</a>",29786841,1036526
DJ Paulinho Mondi Da Baixa Baviera,funk (Origen: funk),Canción,Beeper Funk - Slowed,2024,02WKo37gebkkQKor2TCuTk,5eEfzNcFaXPsBXJzkPiD3S,67,Beeper Funk (Slowed),2024,DJ Paulinho Mondi Da Baixa Baviera," <a href=""https://www.last.fm/music/DJ+Paulinho+Mondi+Da+Baixa+Baviera"">Read more on Last.fm</a>",899691,106368
Sayfalse,funk (Origen: funk),Canción,PYTHON FUNK,2024,4YvxfQF9QCXykqi2ahREC4,7JslfZtjZ430btdARyxLQ4,64,PYTHON FUNK,2024,Sayfalse," <a href=""https://www.last.fm/music/Sayfalse"">Read more on Last.fm</a>",3979210,214091
NXGHT!,funk (Origen: funk),Canción,BLUE HORIZON FUNK - SLOWED,2024,6ISgjQNYq70ahUOL9rOrcz,5jXbkZ8fgtvq5OufR9LJz4,66,BLUE HORIZON FUNK,2024,NXGHT!,"NXGHT! is a Brazilian music producer whose work seamlessly blends phonk, electronic, and dark atmospheric elements. His music is high-energy, raw, and intense, creating a unique space in the underground music scene. What started out as a hobby of making beats has quickly turned into a flourishing career, making NXGHT! one of the most exciting figures in the genre today.

Although details about his real name, birthdate, and early life remain unknown, NXGHT!’s music speaks for itself. <a href=""https://www.last.fm/music/NXGHT%21"">Read more on Last.fm</a>",961342,77930
Oden & Fatzo,funk (Origen: funk),Canción,Tell Me What You Want,2024,7pPMx57fvpINMYGE0eZFhp,6MsZpxCoyp11InGYChBvtZ,71,Tell Me What You Want,2024,Oden & Fatzo,"The electronic live trio is a Parisian underground singularity. 
After hitting numerous clubs, the ensemble is on the road again to explore new venues and spread their erratic vibes.
Their music is a continuous flow of complex grooves with broke rhythms mixing minimal, house and funky techno music infusing bright and psychedelic ambiances. <a href=""https://www.last.fm/music/Oden+&+Fatzo"">Read more on Last.fm</a>",2693694,269979
THE BOX,funk (Origen: funk),Canción,THE BOX MEDLEY FUNK 2,2024,7IFsTX5H1sWcEl8joV0IdD,0dW6ozKchun19vdN4BSIUy,70,THE BOX MEDLEY FUNK 2,2024,THE BOX,"There are, at least, three artists named The Box.

1) A Montreal, Canada new wave band, formed 1981 by Jean-Marc Pisapia (an early member of Men Without Hats). The band was re-started, in 2003, with new lineup.
Originally, Jean-Marc recruited guitarist Guy Florent and bassist Jean-Pierre Brie for the band, who were originally known as Checkpoint Charlie before settling on the name The Box.  After a 15-year hiatus the band released their fifth album, the progressive-rock flavored ""Black Dog There"" on Komfy-Universal. <a href=""https://www.last.fm/music/The+Box"">Read more on Last.fm</a>",3918961,176493
PEDRO SAMPAIO,funk (Origen: funk),Canción,CAVALINHO,2024,1MAveYqPQN88vAvsrHCCCw,0bbhibmbqLzyNrNonJeZX4,63,CAVALINHO,2024,PEDRO SAMPAIO,"Pedro do Espirito Santo Sampaio (born 22 December 1997), better known as Pedro Sampaio (stylized in all caps) is a Brazilian DJ, music producer and singer. 

At the age of 13, he began to discover his talent for percussion playing in a bucket and was then convinced his father to buy a tambourine, repinique, and timbal. A year later, he was discovered by Victor Junior while DJing at his father's friend's party. He joined Dennis DJ's team at age of 17. <a href=""https://www.last.fm/music/PEDRO+SAMPAIO"">Read more on Last.fm</a>",22287689,492195
